ITEM,AÑO,PERIODO,PARQUE ZONAL Y METROPOLITANO,UP. MAY. DE 13 a 59 AÑOS,UP.  MEN.  DE 05 a 12 AÑOS,GRAT. MEN. 0 a 4 AÑOS,GRAT. ADULTO MAYOR,GRATUIDADES OTROS,TOTAL
1,2023,ABRIL,Cahuide,"14,181","5,500",0,462,115,"20,258"
2,2023,ABRIL,Cápac Yupanqui,"9,629","7,143",242,622,225,"17,861"
3,2023,ABRIL,Flor de Amancaes,"6,083","3,289",2,54,424,"9,852"
4,2023,ABRIL,Huáscar,"49,010","16,771",29,"2,663","1,674","70,147"
5,2023,ABRIL,Huayna Capac,"19,417","5,889",9,607,272,"26,194"
6,2023,ABRIL,Huiracocha,"27,367","8,357",18,304,587,"36,633"
7,2023,ABRIL,Lloque Yupanqui,"12,975","3,957",43,989,598,"18,562"
8,2023,ABRIL,Manco Cápac,"9,781","3,764",549,"1,116",242,"15,452"
9,2023,ABRIL,San Pedro,"1,538",608,18,70,78,"2,312"
10,2023,ABRIL,Santa Rosa,"4,185","1,447",33,211,53,"5,929"
11,2023,ABRIL,Sinchi Roca,"49,796","16,502",78,"3,690",943,"71,009"
12,2023,MAYO,Cahuide,"10,543","4,243",1,313,61,"15,161"
13,2023,MAYO,Cápac Yupanqui,"6,280","3,840",157,447,125,"10,849"
14,2023,MAYO,Flor de Amancaes,"2,995","1,432",8,143,122,"4,700"
15,2023,MAYO,Huáscar,"39,250","14,526",927,"2,278","1,142","58,123"
16,2023,MAYO,Huayna Capac,"16,179","5,258",104,489,120,"22,150"
17,2023,MAYO,Huiracocha,"25,552","8,233",38,216,470,"34,509"
18,2023,MAYO,Lloque Yupanqui,"11,365","4,581",7,905,701,"17,559"
19,2023,MAYO,Manco Cápac,"8,457","2,649","1,161",860,214,"13,341"
20,2023,MAYO,San Pedro,"1,109",390,5,92,28,"1,624"
21,2023,MAYO,Santa Rosa,"2,302",681,19,344,37,"3,383"
22,2023,MAYO,Sinchi Roca,"34,162","10,664",90,"3,455",800,"49,171"
23,2023,JUNIO,Cahuide,"10,088","5,468",1,347,77,"15,981"
24,2023,JUNIO,Cápac Yupanqui,"5,891","4,090",62,354,112,"10,509"
25,2023,JUNIO,Flor de Amancaes,"3,055","1,432",6,104,306,"4,903"
26,2023,JUNIO,Huáscar,"35,615","14,474",633,"2,129","1,301","54,152"
27,2023,JUNIO,Huayna Capac,"15,688","6,175",232,543,102,"22,740"
28,2023,JUNIO,Huiracocha,"22,517","7,456",15,195,340,"30,523"
29,2023,JUNIO,Lloque Yupanqui,"11,761","5,285",28,935,970,"18,979"
30,2023,JUNIO,Manco Cápac,"7,364","3,426",518,818,389,"12,515"
31,2023,JUNIO,San Pedro,990,408,86,92,18,"1,594"
32,2023,JUNIO,Santa Rosa,"3,156","1,477",57,424,117,"5,231"
33,2023,JUNIO,Sinchi Roca,"30,476","9,860",181,"3,206",872,"44,595"
34,2023,JULIO,Cahuide,"12,026","4,578",0,474,127,"17,205"
35,2023,JULIO,Cápac Yupanqui,"4,709","2,890",50,388,141,"8,178"
36,2023,JULIO,Flor de Amancaes,"3,523","1,440",1,54,438,"5,456"
37,2023,JULIO,Huáscar,"47,986","19,538",662,"2,323","1,548","72,057"
38,2023,JULIO,Huayna Capac,"18,133","6,018",50,623,137,"24,961"
39,2023,JULIO,Huiracocha,"32,360","13,543",8,233,523,"46,667"
40,2023,JULIO,Lloque Yupanqui,"12,645","4,421",22,"1,002",957,"19,047"
41,2023,JULIO,Manco Cápac,"9,944","13,356",727,990,302,"25,319"
42,2023,JULIO,San Pedro,"1,155",598,27,82,45,"1,907"
43,2023,JULIO,Santa Rosa,"1,798",849,20,382,79,"3,128"
44,2023,JULIO,Sinchi Roca,"43,496","15,427",148,"3,909",878,"63,858"
45,2023,AGOSTO,Cahuide,"10,733","4,852",2,331,95,"16,013"
46,2023,AGOSTO,Cápac Yupanqui,"5,024","4,975",45,417,193,"10,654"
47,2023,AGOSTO,Flor de Amancaes,"4,364","2,303",4,34,210,"6,915"
48,2023,AGOSTO,Huáscar,"55,386","27,807",549,"5,059",643,"89,444"
49,2023,AGOSTO,Huayna Capac,"20,084","9,542",82,280,292,"30,280"
50,2023,AGOSTO,Huiracocha,"34,863","14,849",39,137,286,"50,174"
51,2023,AGOSTO,Lloque Yupanqui,"12,609","6,302",129,781,"1,261","21,082"
52,2023,AGOSTO,Manco Cápac,"9,775","5,011",759,"1,033",435,"17,013"
53,2023,AGOSTO,San Pedro,"1,267",672,84,49,35,"2,107"
