Fecha_Accidente;DIRECCION_ACCIDENTE;CONDICION_VICTIMA;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;SEXO_VICTIMA;EDAD_VICTIMA;CANTIDAD_VICTIMAS
1/01/2018__00:00:00;CL_87_9H_24;Peaton;herido;Atropello;M;63;1
1/01/2018__00:00:00;CLLE_119B_CRA_11B;Peaton;herido;Atropello;F;19;1
1/01/2018__00:00:00;CR_8_CL_41;Acompañante;herido;Choque;F;38;1
1/01/2018__00:00:00;CR_8_CL_41;Conductor;herido;Choque;M;32;1
1/01/2018__00:00:00;CR_8_CL_41;Motociclista;herido;Choque;M;59;1
1/02/2018__00:00:00;CIRCUNVALAR_CR_9G;Acompañante;herido;Choque;M;36;1
1/02/2018__00:00:00;CIRCUNVALAR_CR_9G;Motociclista;herido;Choque;M;36;1
1/02/2018__00:00:00;CL_30_CR_30;Conductor;herido;Choque;M;43;1
1/03/2018__00:00:00;CLLE_110_CRA_52;Motociclista;herido;Atropello;M;42;1
1/03/2018__00:00:00;CLLE_110_CRA_52;Peaton;herido;Atropello;F;52;1
1/03/2018__00:00:00;AV_CIRCUNVALAR_CR_51B;Pasajero;herido;Choque;F;64;1
1/03/2018__00:00:00;CL_27B_CR_20_B_44;Ciclista;herido;Choque;M;42;1
1/03/2018__00:00:00;CR_15_SUR_46_500;Motociclista;herido;Choque;M;29;1
1/04/2018__00:00:00;CR_17_CL_36B;Peaton;herido;Atropello;M;81;1
1/04/2018__00:00:00;CL_110_CR_10;Acompañante;herido;Choque;M;52;1
1/04/2018__00:00:00;CL_110_CR_10;Motociclista;herido;Choque;M;31;1
1/04/2018__00:00:00;CL_82_CR_59B;Pasajero;herido;Choque;M;63;1
1/04/2018__00:00:00;CR_14_CL_35;Conductor;herido;Choque;M;43;1
1/04/2018__00:00:00;CR_29_CL_37;Conductor;herido;Choque;M;33;1
1/05/2018__00:00:00;CRA_20B_CALLE_64B;Acompañante;herido;Choque;F;52;1
1/05/2018__00:00:00;CRA_20B_CALLE_64B;Motociclista;herido;Choque;M;23;1
1/05/2018__00:00:00;CRA_45_CLLE_53;Motociclista;herido;Choque;F;45;1
1/05/2018__00:00:00;CRA_49C_CALLE_76;Acompañante;herido;Choque;F;35;1
1/06/2018__00:00:00;CALLE_30_CRA_46;Motociclista;herido;Atropello;M;36;1
1/06/2018__00:00:00;CALLE_30_CRA_46;Peaton;muerto;Atropello;M;80;1
1/06/2018__00:00:00;CLLE_110_CRA_6;Motociclista;herido;Atropello;M;37;1
1/06/2018__00:00:00;CLLE_110_CRA_6;Pasajero;herido;Atropello;M;27;1
1/06/2018__00:00:00;AV_CORDIALIDAD_CON_CIRCUNVALAR;Pasajero;herido;Caida_Ocupante;M;25;1
1/06/2018__00:00:00;CLLE_68_CRA_60;Pasajero;herido;Choque;F;37;1
1/06/2018__00:00:00;CRA_51B_CALLE_90;Acompañante;herido;Choque;F;38;1
1/07/2018__00:00:00;CLLE_39_CRA_26B;Acompañante;herido;Choque;M;25;1
1/07/2018__00:00:00;CLLE_39_CRA_26B;Conductor;herido;Choque;M;35;1
1/07/2018__00:00:00;CLLE_39_CRA_26B;Conductor;herido;Choque;M;70;1
1/07/2018__00:00:00;CR_10_CL_62;Acompañante;herido;Choque;F;31;1
1/07/2018__00:00:00;CR_10_CL_62;Motociclista;herido;Choque;M;34;1
1/07/2018__00:00:00;CRA_58_CALLE_90;Acompañante;herido;Choque;F;18;1
1/07/2018__00:00:00;CRA_58_CALLE_90;Acompañante;herido;Choque;F;49;1
1/07/2018__00:00:00;CRA_58_CALLE_90;Acompañante;herido;Choque;M;39;1
1/07/2018__00:00:00;CRA_58_CALLE_90;Conductor;herido;Choque;M;28;1
