GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CLASE,RED_PRIMARIA,RED_SECUNDARIA,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,Agua,6588,84244,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,Desague,2917,66576,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,Agua,7017,90609,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,Desague,5455,168036,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,Agua,45966,749114,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,Desague,94138,569603,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN LA LEGUA,070103,Agua,0,28800,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN LA LEGUA,070103,Desague,7123,20852,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,Agua,1664,62908,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,Desague,4532,64253,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,Agua,0,10074,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,Desague,4422,8895,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,Agua,0,10197,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,Desague,0,4180,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,Agua,1274,176086,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,Desague,4337,174025,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,Agua,66888,879771,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,Desague,28360,776568,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,Agua,31901,954494,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,Desague,55940,797068,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,Agua,43649,884510,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,Desague,49256,779693,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,Agua,6760,256828,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,Desague,9029,193341,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,Agua,30095,405183,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,Desague,31709,322827,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,Agua,29536,620676,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,Desague,32570,520165,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,Agua,6063,170918,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,Desague,19321,157129,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,Agua,15564,779156,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,Desague,42733,645479,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,Agua,26852,994390,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,Desague,64721,860222,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,Agua,813,35901,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,Desague,0,40376,2023,202304,20230505
